"OSVersion","Article","Published","Title","Warn"
"2008","KB5034173","2024-01-09","January 9, 2024-KB5034173 (Monthly Rollup)","Yes"
"2008","KB5033422","2023-12-12","December 12, 2023, 2023-KB5033422 (Monthly Rollup)"
"2008","KB5032254","2023-11-14","November 14, 2023, 2023-KB5032254 (Monthly Rollup)"
"2008","KB5031416","2023-10-10","October 10, 2023-KB5031416 (Monthly Rollup)"
"2008","KB5030271","2023-09-12","September 12, 2023-KB5030271 (Monthly Rollup)"
"2008","KB5029318","2023-08-08","August 8, 2023-KB5029318 (Monthly Rollup)"
"2008","KB5029301","2023-08-08","August 8, 2023-KB5029301 (Security-only update)"
"2008","KB5028222","2023-07-11","July 11, 2023-KB5028222 (Monthly Rollup)"
"2008","KB5028226","2023-07-11","July 11, 2023-KB5028226 (Security-only update)"
"2008","KB5027279","2023-06-13","June 13, 2023-KB5027279 (Monthly Rollup)"
"2008","KB5027277","2023-06-13","June 13, 2023-KB5027277 (Security-only update)"
"2008","KB5026408","2023-05-09","May 9, 2023-KB5026408 (Monthly Rollup)"
"2008","KB5026427","2023-05-09","May 9, 2023-KB5026427 (Security-only update)"
"2008","KB5025271","2023-04-11","April 11, 2023-KB5025271 (Monthly Rollup)"
"2008","KB5025273","2023-04-11","April 11, 2023-KB5025273 (Security-only update)"
"2008","KB5023755","2023-03-14","March 14, 2023-KB5023755 (Monthly Rollup)"
"2008","KB5023754","2023-03-14","March 14, 2023-KB5023754 (Security-only update)"
"2008","KB5022890","2023-02-14","February 14, 2023-KB5022890 (Monthly Rollup)"
"2008","KB5022893","2023-02-14","February 14, 2023-KB5022893 (Security-only update)"
"2008","KB5022340","2023-01-10","January 10, 2023-KB5022340 (Monthly Rollup)"
"2008","KB5022353","2023-01-10","January 10, 2023-KB5022353 (Security-only update)"
"2008","KB5021289","2022-12-13","December 13, 2022-KB5021289 (Monthly Rollup)"
"2008","KB5021293","2022-12-13","December 13, 2022-KB5021293 (Security-only update)"
"2008","KB5021657","2022-11-17","2008","KB5021657: Out-of-band update for Windows Server 2008 SP2: November 17, 2022"
"2008","KB5020019","2022-11-08","November 8, 2022-KB5020019 (Monthly Rollup)"
"2008","KB5020005","2022-11-08","November 8, 2022-KB5020005 (Security-only update)"
"2008","KB5018450","2022-10-11","October 11, 2022-KB5018450 (Monthly Rollup)"
"2008","KB5018446","2022-10-11","October 11, 2022-KB5018446 (Security-only update)"
"2008","KB5017358","2022-09-13","September 13, 2022-KB5017358 (Monthly Rollup)"
"2008","KB5017371","2022-09-13","September 13, 2022-KB5017371 (Security-only update)"
"2008","KB5016669","2022-08-09","August 9, 2022-KB5016669 (Monthly Rollup)"
"2008","KB5016686","2022-08-09","August 9, 2022-KB5016686 (Security-only update)"
"2008","KB5015866","2022-07-12","July 12, 2022-KB5015866 (Monthly Rollup)"
"2008","KB5015870","2022-07-12","July 12, 2022-KB5015870 (Security-only update)"
"2008","KB5014752","2022-06-14","June 14, 2022-KB5014752 (Monthly Rollup)"
"2008","KB5014743","2022-06-14","June 14, 2022-KB5014743 (Security-only update)"
"2008","KB5014990","2022-05-10","2008","KB5014990: Authentication failures occur after the May 10, 2022 update is installed on domain controllers running Windows Server 2008 SP2"
"2008","KB5014010","2022-05-10","May 10, 2022-KB5014010 (Monthly Rollup)"
"2008","KB5014006","2022-05-10","May 10, 2022-KB5014006 (Security-only update)"
"2008","KB5012658","2022-04-12","April 12, 2022-KB5012658 (Monthly Rollup)"
"2008","KB5012632","2022-04-12","April 12, 2022-KB5012632 (Security-only update)"
"2008","KB5011534","2022-03-08","March 8, 2022-KB5011534 (Monthly Rollup)"
"2008","KB5011525","2022-03-08","March 8, 2022-KB5011525 (Security-only update)"
"2008","KB5010384","2022-02-08","February 8, 2022-KB5010384 (Monthly Rollup)"
"2008","KB5010403","2022-02-08","February 8, 2022-KB5010403 (Security-only update)"
"2008","KB5010799","2022-01-17","2008","KB5010799: Out-of-band update for Windows Server 2008 SP2: January 17, 2022"
"2008","KB5009627","2022-01-11","January 11, 2022-KB5009627 (Monthly Rollup)"
"2008","KB5009601","2022-01-11","January 11, 2022-KB5009601 (Security-only update)"
"2008","KB5008274","2021-12-14","December 14, 2021-KB5008274 (Monthly Rollup)"
"2008","KB5008271","2021-12-14","December 14, 2021-KB5008271 (Security-only update)"
"2008","KB5007263","2021-11-09","November 9, 2021-KB5007263 (Monthly Rollup)"
"2008","KB5007246","2021-11-09","November 9, 2021-KB5007246 (Security-only update)"
"2008","KB5006736","2021-10-12","October 12, 2021-KB5006736 (Monthly Rollup)"
"2008","KB5006715","2021-10-12","October 12, 2021-KB5006715 (Security-only update)"
"2008","KB5005606","2021-09-14","September 14, 2021-KB5005606 (Monthly Rollup)"
"2008","KB5005618","2021-09-14","September 14, 2021-KB5005618 (Security-only update)"
"2008","KB5005090","2021-08-10","August 10, 2021-KB5005090 (Monthly Rollup)"
"2008","KB5005095","2021-08-10","August 10, 2021-KB5005095 (Security-only update)"
"2008","KB5004305","2021-07-13","July 13, 2021-KB5004305 (Monthly Rollup)"
"2008","KB5004299","2021-07-13","July 13, 2021-KB5004299 (Security-only update)"
"2008","KB5004955","2021-07-06","July 6, 2021-KB5004955 (Monthly Rollup) Out-of-band"
"2008","KB5004959","2021-07-06","July 6, 2021-KB5004959 (Security-only update) Out-of-band"
"2008","KB5003661","2021-06-08","June 8, 2021-KB5003661 (Monthly Rollup)"
"2008","KB5003695","2021-06-08","June 8, 2021-KB5003695 (Security-only update)"
"2008","KB5003210","2021-05-11","May 11, 2021-KB5003210 (Monthly Rollup)"
"2008","KB5003225","2021-05-11","May 11, 2021-KB5003225 (Security-only update)"
"2008","KB5001389","2021-04-13","April 13, 2021-KB5001389 (Monthly Rollup)"
"2008","KB5001332","2021-04-13","April 13, 2021-KB5001332 (Security-only update)"
"2008","KB5000844","2021-03-09","March 9, 2021-KB5000844 (Monthly Rollup)"
"2008","KB5000856","2021-03-09","March 9, 2021-KB5000856 (Security-only update)"
"2008","KB4601360","2021-02-09","February 9, 2021-KB4601360 (Monthly Rollup)"
"2008","KB4601366","2021-02-09","February 9, 2021-KB4601366 (Security-only update)"
"2008","KB4598288","2021-01-12","January 12, 2021-KB4598288 (Monthly Rollup)"
"2008","KB4598287","2021-01-12","January 12, 2021-KB4598287 (Security-only update)"
"2008","KB4592504","2020-12-08","December 8, 2020-KB4592504 (Security-only update)"
"2008","KB4592498","2020-12-08","December 8, 2020-KB4592498 (Monthly Rollup)"
"2008","KB4586807","2020-11-10","November 10, 2020-KB4586807 (Monthly Rollup)"
"2008","KB4586817","2020-11-10","November 10, 2020-KB4586817 (Security-only update)"
"2008","KB4580378","2020-10-13","October 13, 2020-KB4580378 (Monthly Rollup)"
"2008","KB4580385","2020-10-13","October 13, 2020-KB4580385 (Security-only update)"
"2008","KB4577064","2020-09-08","September 8, 2020-KB4577064 (Monthly Rollup)"
"2008","KB4577070","2020-09-08","September 8, 2020-KB4577070 (Security-only update)"
"2008","KB4571746","2020-08-11","August 11, 2020-KB4571746 (Security-only update)"
"2008","KB4571730","2020-08-11","August 11, 2020-KB4571730 (Monthly Rollup)"
"2008","KB4565536","2020-07-14","July 14, 2020-KB4565536 (Monthly Rollup)"
"2008","KB4565529","2020-07-14","July 14, 2020-KB4565529 (Security-only update)"
"2008","KB4561645","2020-06-09","June 9, 2020-KB4561645 (Security-only update)"
"2008","KB4561670","2020-06-09","June 9, 2020-KB4561670 (Monthly Rollup)"
"2008","KB4556854","2020-05-12","May 12, 2020-KB4556854 (Security-only update)"
"2008","KB4556860","2020-05-12","May 12, 2020-KB4556860 (Monthly Rollup)"
"2008","KB4550957","2020-04-14","April 14, 2020-KB4550957 (Security-only update)"
"2008","KB4550951","2020-04-14","April 14, 2020-KB4550951 (Monthly Rollup)"
"2008","KB4541504","2020-03-10","March 10, 2020-KB4541504 (Security-only update)"
"2008","KB4541506","2020-03-10","March 10, 2020-KB4541506 (Monthly Rollup)"
"2008","KB4537810","2020-02-11","February 11, 2020-KB4537810 (Monthly Rollup)"
"2008","KB4537822","2020-02-11","February 11, 2020-KB4537822 (Security-only update)"
"2008","KB4534312","2020-01-14","January 14, 2020-KB4534312 (Security-only update)"
"2008","KB4534303","2020-01-14","January 14, 2020-KB4534303 (Monthly Rollup)"
"2008","KB4530719","2019-12-10","December 10, 2019-KB4530719 (Security-only update)"
"2008","KB4530695","2019-12-10","December 10, 2019-KB4530695 (Monthly Rollup)"
"2008","KB4525244","2019-11-19","November 19, 2019-KB4525244 (Preview of Monthly Rollup)"
"2008","KB4525239","2019-11-12","November 12, 2019-KB4525239 (Security-only update)"
"2008","KB4525234","2019-11-12","November 12, 2019-KB4525234 (Monthly Rollup)"
"2008","KB4520015","2019-10-15","October 15, 2019-KB4520015 (Preview of Monthly Rollup)"
"2008","KB4520002","2019-10-08","October 8, 2019-KB4520002 (Monthly Rollup)"
"2008","KB4520009","2019-10-08","October 8, 2019-KB4520009 (Security-only update)"
"2008","KB4516030","2019-09-24","September 24, 2019-KB4516030 (Preview of Monthly Rollup)"
"2008","KB4516051","2019-09-10","September 10, 2019-KB4516051 (Security-only update)"
"2008","KB4516026","2019-09-10","September 10, 2019-KB4516026 (Monthly Rollup)"
"2008","KB4512499","2019-08-17","August 17, 2019-KB4512499 (Preview of Monthly Rollup)"
"2008","KB4512476","2019-08-13","August 13, 2019-KB4512476 (Monthly Rollup)"
"2008","KB4512491","2019-08-13","August 13, 2019-KB4512491 (Security-only update)"
"2008","KB4507451","2019-07-16","July 16, 2019-KB4507451 (Preview of Monthly Rollup)"
"2008","KB4507452","2019-07-09","July 9, 2019-KB4507452 (Monthly Rollup)"
"2008","KB4507461","2019-07-09","July 9, 2019-KB4507461 (Security-only update)"
"2008","KB4503271","2019-06-20","June 20, 2019-KB4503271 (Preview of Monthly Rollup)"
"2008","KB4503273","2019-06-11","June 11, 2019-KB4503273 (Monthly Rollup)"
"2008","KB4503287","2019-06-11","June 11, 2019-KB4503287 (Security-only update)"
"2008","KB4499184","2019-05-23","May 23, 2019-KB4499184 (Preview of Monthly Rollup)"
"2008","KB4499180","2019-05-14","May 14, 2019-KB4499180 (Security-only update)"
"2008","KB4499149","2019-05-14","May 14, 2019-KB4499149 (Monthly Rollup)"
"2008","KB4493460","2019-04-25","April 25, 2019-KB4493460 (Preview of Monthly Rollup)"
"2008","KB4493471","2019-04-09","April 9, 2019-KB4493471 (Monthly Rollup)"
"2008","KB4493458","2019-04-09","April 9, 2019-KB4493458 (Security-only update)"
"2008","KB4489887","2019-03-19","March 19, 2019-KB4489887 (Preview of Monthly Rollup)"
"2008","KB4489880","2019-03-12","March 12, 2019-KB4489880 (Monthly Rollup)"
"2008","KB4489876","2019-03-12","March 12, 2019-KB4489876 (Security-only update)"
"2008","KB4487022","2019-02-19","February 19, 2019-KB4487022 (Preview of Monthly Rollup)"
"2008","KB4487019","2019-02-12","February 12, 2019-KB4487019 (Security-only update)"
"2008","KB4487023","2019-02-12","February 12, 2019-KB4487023 (Monthly Rollup)"
"2008","KB4480974","2019-01-17","January 17, 2019-KB4480974 (Preview of Monthly Rollup)"
"2008","KB4480957","2019-01-08","January 8, 2019-KB4480957 (Security-only update)"
"2008","KB4480968","2019-01-08","January 8, 2019-KB4480968 (Monthly Rollup)"
"2008","KB4471325","2018-12-11","December 11, 2018-KB4471325 (Monthly Rollup)"
"2008","KB4471319","2018-12-11","December 11, 2018-KB4471319 (Security-only update)"
"2008","KB4467687","2018-11-27","November 27, 2018-KB4467687 (Preview of Monthly Rollup)"
"2008","KB4467700","2018-11-13","November 13, 2018-KB4467700 (Security-only update)"
"2008","KB4467706","2018-11-13","November 13, 2018-KB4467706 (Monthly Rollup)"
"2008","KB4463105","2018-10-18","October 18, 2018-KB4463105 (Preview of Monthly Rollup)"
